COMMON_NAME,SPECIES_CODE,GROUP,EBS,GOA,AI,BSS,AREA_ID
skate unid.,400,Other Skates,TRUE,TRUE,TRUE,TRUE,
Raja sp.,404,Other Skates,TRUE,TRUE,TRUE,TRUE,
Bathyraja sp.,405,Other Skates,TRUE,TRUE,TRUE,TRUE,
white skate,406,Other Skates,TRUE,TRUE,TRUE,TRUE,
deepsea skate,410,Other Skates,TRUE,TRUE,TRUE,TRUE,
big skate,420,Other Skates,TRUE,FALSE,TRUE,TRUE,
California skate,425,Other Skates,TRUE,TRUE,TRUE,TRUE,
Bering skate,435,Other Skates,TRUE,TRUE,TRUE,TRUE,
longnose skate,440,Other Skates,TRUE,FALSE,TRUE,TRUE,
roughshoulder skate,445,Other Skates,TRUE,TRUE,TRUE,TRUE,
starry skate,450,Other Skates,TRUE,TRUE,TRUE,TRUE,
mud skate,455,Other Skates,TRUE,TRUE,TRUE,TRUE,
roughtail skate,460,Other Skates,TRUE,TRUE,TRUE,TRUE,
Alaska skate,471,Other Skates,FALSE,TRUE,TRUE,TRUE,
Aleutian skate,472,Other Skates,TRUE,TRUE,TRUE,TRUE,
Commander skate,475,Other Skates,TRUE,TRUE,TRUE,TRUE,
leopard skate,477,Other Skates,TRUE,TRUE,TRUE,TRUE,
whiteblotched skate,480,Other Skates,TRUE,TRUE,TRUE,TRUE,
butterfly skate,483,Other Skates,TRUE,TRUE,TRUE,TRUE,
whitebrow skate,485,Other Skates,TRUE,TRUE,TRUE,TRUE,
golden skate,490,Other Skates,TRUE,TRUE,TRUE,TRUE,
Okhotsk skate,495,Other Skates,TRUE,TRUE,TRUE,TRUE,
flathead sole,10130,Flathead sole complex,TRUE,TRUE,TRUE,FALSE,
Bering flounder,10140,Flathead sole complex,TRUE,TRUE,TRUE,FALSE,
Hippoglossoides sp.,10129,Flathead sole complex,TRUE,TRUE,TRUE,FALSE,
Pacific sanddab,10010,Other flatfish,TRUE,FALSE,TRUE,FALSE,
slender sole,10150,Other flatfish,TRUE,FALSE,TRUE,FALSE,
Arctic flounder,10155,Other flatfish,TRUE,FALSE,TRUE,FALSE,
petrale sole,10160,Other flatfish,TRUE,FALSE,TRUE,FALSE,
English sole,10170,Other flatfish,TRUE,FALSE,TRUE,FALSE,
Dover sole,10180,Other flatfish,TRUE,FALSE,TRUE,TRUE,
deepsea sole,10190,Other flatfish,TRUE,FALSE,TRUE,TRUE,
rex sole,10200,Other flatfish,TRUE,FALSE,TRUE,TRUE,
longhead dab,10211,Other flatfish,TRUE,FALSE,TRUE,FALSE,
