COMMON_NAME,SPECIES_CODE,GROUP,EBS,GOA,AI,BSS
big skate,420,420,FALSE,TRUE,FALSE,FALSE
longnose skate,440,440,FALSE,TRUE,FALSE,FALSE
Alaska skate,471,471,TRUE,FALSE,FALSE,FALSE
Pacific sanddab,10010,10010,FALSE,FALSE,FALSE,FALSE
arrowtooth flounder,10110,10110,TRUE,TRUE,TRUE,TRUE
Kamchatka flounder,10112,10112,TRUE,TRUE,TRUE,TRUE
Greenland turbot,10115,10115,TRUE,TRUE,TRUE,TRUE
flathead sole,10130,10130,TRUE,TRUE,TRUE,FALSE
Bering flounder,10140,10140,TRUE,FALSE,FALSE,FALSE
slender sole,10150,10150,FALSE,FALSE,FALSE,FALSE
Arctic flounder,10155,10155,FALSE,FALSE,FALSE,FALSE
petrale sole,10160,10160,FALSE,FALSE,FALSE,FALSE
English sole,10170,10170,FALSE,FALSE,TRUE,FALSE
Dover sole,10180,10180,TRUE,TRUE,TRUE,TRUE
deepsea sole,10190,10190,FALSE,TRUE,TRUE,FALSE
rex sole,10200,10200,TRUE,FALSE,TRUE,TRUE
yellowfin sole,10210,10210,TRUE,TRUE,FALSE,FALSE
longhead dab,10211,10211,TRUE,FALSE,FALSE,FALSE
Sakhalin sole,10212,10212,TRUE,FALSE,FALSE,FALSE
starry flounder,10220,10220,TRUE,TRUE,TRUE,FALSE
roughscale sole,10240,10240,FALSE,FALSE,FALSE,FALSE
sand sole,10250,10250,TRUE,TRUE,FALSE,FALSE
northern rock sole,10261,10261,TRUE,TRUE,FALSE,FALSE
southern rock sole,10262,10262,TRUE,TRUE,TRUE,FALSE
butter sole,10270,10270,TRUE,TRUE,TRUE,FALSE
curlfin sole,10280,10280,FALSE,FALSE,FALSE,FALSE
Alaska plaice,10285,10285,TRUE,TRUE,FALSE,FALSE
sablefish,20510,20510,FALSE,TRUE,FALSE,FALSE
Pacific cod,21720,21720,TRUE,TRUE,TRUE,FALSE
walleye pollock,21740,21740,TRUE,TRUE,TRUE,FALSE
Atka mackerel,21921,21921,FALSE,TRUE,TRUE,FALSE
shortspine thornyhead,30020,30020,FALSE,TRUE,TRUE,TRUE
longspine thornyhead,30030,30030,FALSE,TRUE,FALSE,FALSE
rougheye rockfish,30051,30051,FALSE,FALSE,FALSE,FALSE
blackspotted rockfish,30052,30052,FALSE,FALSE,FALSE,FALSE
Pacific ocean perch,30060,30060,FALSE,TRUE,TRUE,FALSE
silvergray rockfish,30100,30100,FALSE,TRUE,FALSE,FALSE
dusky rockfish,30152,30152,FALSE,TRUE,FALSE,FALSE
black rockfish,30330,30330,FALSE,FALSE,FALSE,FALSE
northern rockfish,30420,30420,FALSE,TRUE,TRUE,TRUE
redstripe rockfish,30430,30430,FALSE,TRUE,FALSE,FALSE
yelloweye rockfish,30470,30470,FALSE,TRUE,FALSE,FALSE
redbanded rockfish,30475,30475,FALSE,TRUE,FALSE,FALSE
harelquin rockfish,30535,30535,FALSE,TRUE,FALSE,FALSE
sharpchin rockfish,30560,30560,FALSE,TRUE,FALSE,FALSE
shortraker rockfish,30576,30576,FALSE,TRUE,TRUE,TRUE
Tanner crab,68560,68560,TRUE,FALSE,FALSE,FALSE
snow crab,68580,68580,TRUE,FALSE,FALSE,FALSE
red king crab,69322,69322,TRUE,FALSE,FALSE,FALSE
blue king crab,69323,69323,TRUE,FALSE,FALSE,FALSE
