"group_name","SPECIES_CODE"
"Sea stars",80000
"Sea stars",80001
"Sea stars",80002
"Sea stars",80003
"Sea stars",80004
"Sea stars",80005
"Sea stars",80006
"Sea stars",80007
"Sea stars",80008
"Sea stars",80009
"Sea stars",80010
"Sea stars",80011
"Sea stars",80012
"Sea stars",80013
"Sea stars",80014
"Sea stars",80015
"Sea stars",80016
"Sea stars",80017
"Sea stars",80018
"Sea stars",80019
"Sea stars",80020
"Sea stars",80021
"Sea stars",80022
"Sea stars",80023
"Sea stars",80024
"Sea stars",80025
"Sea stars",80026
"Sea stars",80027
"Sea stars",80028
"Sea stars",80029
"Sea stars",80030
"Sea stars",80031
"Sea stars",80032
"Sea stars",80033
"Sea stars",80034
"Sea stars",80035
"Sea stars",80036
"Sea stars",80037
"Sea stars",80038
"Sea stars",80039
"Sea stars",80040
"Sea stars",80041
"Sea stars",80042
"Sea stars",80043
"Sea stars",80044
"Sea stars",80045
"Sea stars",80046
"Sea stars",80047
"Sea stars",80048
"Sea stars",80049
"Sea stars",80050
"Sea stars",80051
"Sea stars",80052
"Sea stars",80053
"Sea stars",80054
"Sea stars",80055
"Sea stars",80056
"Sea stars",80057
"Sea stars",80058
"Sea stars",80059
"Sea stars",80060
"Sea stars",80061
"Sea stars",80062
"Sea stars",80063
"Sea stars",80064
"Sea stars",80065
"Sea stars",80066
"Sea stars",80067
"Sea stars",80068
"Sea stars",80069
"Sea stars",80070
"Sea stars",80071
"Sea stars",80072
"Sea stars",80073
"Sea stars",80074
"Sea stars",80075
"Sea stars",80076
"Sea stars",80077
"Sea stars",80078
"Sea stars",80079
"Sea stars",80080
"Sea stars",80081
"Sea stars",80082
"Sea stars",80083
"Sea stars",80084
"Sea stars",80085
"Sea stars",80086
"Sea stars",80087
"Sea stars",80088
"Sea stars",80089
"Sea stars",80090
"Sea stars",80091
"Sea stars",80092
"Sea stars",80093
"Sea stars",80094
"Sea stars",80095
"Sea stars",80096
"Sea stars",80097
"Sea stars",80098
"Sea stars",80099
"Sea stars",80100
"Sea stars",80101
"Sea stars",80102
"Sea stars",80103
"Sea stars",80104
"Sea stars",80105
"Sea stars",80106
"Sea stars",80107
"Sea stars",80108
"Sea stars",80109
"Sea stars",80110
"Sea stars",80111
"Sea stars",80112
"Sea stars",80113
"Sea stars",80114
"Sea stars",80115
"Sea stars",80116
"Sea stars",80117
"Sea stars",80118
"Sea stars",80119
"Sea stars",80120
"Sea stars",80121
"Sea stars",80122
"Sea stars",80123
"Sea stars",80124
"Sea stars",80125
"Sea stars",80126
"Sea stars",80127
"Sea stars",80128
"Sea stars",80129
"Sea stars",80130
"Sea stars",80131
"Sea stars",80132
"Sea stars",80133
"Sea stars",80134
"Sea stars",80135
"Sea stars",80136
"Sea stars",80137
"Sea stars",80138
"Sea stars",80139
"Sea stars",80140
"Sea stars",80141
"Sea stars",80142
"Sea stars",80143
"Sea stars",80144
"Sea stars",80145
"Sea stars",80146
"Sea stars",80147
"Sea stars",80148
"Sea stars",80149
"Sea stars",80150
"Sea stars",80151
"Sea stars",80152
"Sea stars",80153
"Sea stars",80154
"Sea stars",80155
"Sea stars",80156
"Sea stars",80157
"Sea stars",80158
"Sea stars",80159
"Sea stars",80160
"Sea stars",80161
"Sea stars",80162
"Sea stars",80163
"Sea stars",80164
"Sea stars",80165
"Sea stars",80166
"Sea stars",80167
"Sea stars",80168
"Sea stars",80169
"Sea stars",80170
"Sea stars",80171
"Sea stars",80172
"Sea stars",80173
"Sea stars",80174
"Sea stars",80175
"Sea stars",80176
"Sea stars",80177
"Sea stars",80178
"Sea stars",80179
"Sea stars",80180
"Sea stars",80181
"Sea stars",80182
"Sea stars",80183
"Sea stars",80184
"Sea stars",80185
"Sea stars",80186
"Sea stars",80187
"Sea stars",80188
"Sea stars",80189
"Sea stars",80190
"Sea stars",80191
"Sea stars",80192
"Sea stars",80193
"Sea stars",80194
"Sea stars",80195
"Sea stars",80196
"Sea stars",80197
"Sea stars",80198
"Sea stars",80199
"Sea stars",80200
"Sea stars",80201
"Sea stars",80202
"Sea stars",80203
"Sea stars",80204
"Sea stars",80205
"Sea stars",80206
"Sea stars",80207
"Sea stars",80208
"Sea stars",80209
"Sea stars",80210
"Sea stars",80211
"Sea stars",80212
"Sea stars",80213
"Sea stars",80214
"Sea stars",80215
"Sea stars",80216
"Sea stars",80217
"Sea stars",80218
"Sea stars",80219
"Sea stars",80220
"Sea stars",80221
"Sea stars",80222
"Sea stars",80223
"Sea stars",80224
"Sea stars",80225
"Sea stars",80226
"Sea stars",80227
"Sea stars",80228
"Sea stars",80229
"Sea stars",80230
"Sea stars",80231
"Sea stars",80232
"Sea stars",80233
"Sea stars",80234
"Sea stars",80235
"Sea stars",80236
"Sea stars",80237
"Sea stars",80238
"Sea stars",80239
"Sea stars",80240
"Sea stars",80241
"Sea stars",80242
"Sea stars",80243
"Sea stars",80244
"Sea stars",80245
"Sea stars",80246
"Sea stars",80247
"Sea stars",80248
"Sea stars",80249
"Sea stars",80250
"Sea stars",80251
"Sea stars",80252
"Sea stars",80253
"Sea stars",80254
"Sea stars",80255
"Sea stars",80256
"Sea stars",80257
"Sea stars",80258
"Sea stars",80259
"Sea stars",80260
"Sea stars",80261
"Sea stars",80262
"Sea stars",80263
"Sea stars",80264
"Sea stars",80265
"Sea stars",80266
"Sea stars",80267
"Sea stars",80268
"Sea stars",80269
"Sea stars",80270
"Sea stars",80271
"Sea stars",80272
"Sea stars",80273
"Sea stars",80274
"Sea stars",80275
"Sea stars",80276
"Sea stars",80277
"Sea stars",80278
"Sea stars",80279
"Sea stars",80280
"Sea stars",80281
"Sea stars",80282
"Sea stars",80283
"Sea stars",80284
"Sea stars",80285
"Sea stars",80286
"Sea stars",80287
"Sea stars",80288
"Sea stars",80289
"Sea stars",80290
"Sea stars",80291
"Sea stars",80292
"Sea stars",80293
"Sea stars",80294
"Sea stars",80295
