OLD_SPECIES_NAME,OLD_SPECIES_CODE,NEW_SPECIES_NAME,NEW_SPECIES_CODE,ACTION,YEAR_CHANGED,REASON
Hippasteria pedicellaris,80647,Hippasteria phrygiana,80650,change taxon code/name,2023,Synonym according to Mah et al. (2014)
Hippasteria phrygiana (=spinosa),80650,Hippasteria phrygiana,80650,change taxon name,2023,Synonym according to Mah et al. (2014)
Hippodiplosia sp.,95072,Reussia sp.,95072,change taxon name,2023,synonym
Hippoporina insculpta,95071,Primavelans insculpta,95071,change taxon name,2023,synonym
Histioteuthis dofleini,79511,Stigmatoteuthis dofleini,79513,change taxon code/name,2023,synonym
Histioteuthis hoylei,79512,Stigmatoteuthis hoylei,79512,change taxon name,2023,unaccepted combination
Hypsopsetta guttulata,10145,Pleuronichthys guttulatus,10145,change taxon name,2023,synonym
Japelion aleutica,71740,Buccinum aleuticum,72753,change taxon code/name,2023,synonym
Kali normani,21597,Kali kerberti,21597,change taxon name,2023,synonym
Lamellariidae,71583,Lamellariinae,71583,change taxon name,2023,original rank
Lampetra tridentata,21,Entosphenus tridentatus,21,change taxon name,2023,senior synonym
Laqueus californianus,97116,Laqueus erythraeus,97116,change taxon name,2023,misspelling
Laqueus vancouverensis,97117,Laqueus vancouveriensis,97117,change taxon name,2023,misspelling
Leptagonus frenatus,20006,Sarritor frenatus,20006,change taxon name,2023,synonym
Leptagonus leptorhynchus,20005,Sarritor leptorhynchus,20005,change taxon name,2023,synonym
Leptasterias katharinae,80591,Leptasterias polaris katherinae,80591,change taxon name,2023,synonym
Leptasterias stolocantha,80113,Leptasterias stolacantha,80113,change taxon name,2023,misspelling
Leptasterias truculenta,80116,Leptasterias coei truculenta,80116,change taxon name,2023,synonym
Leptochiton alveolus,70125,Belknapchiton alveolus,70125,change taxon name,2023,synonym
Leptochiton belknapi,70127,Belknapchiton belknapi,70127,change taxon name,2023,synonym
Leptochiton mesogonus,70128,Belknapchiton belknapi,70127,change taxon code/name,2023,a junior synonym
Lillipathes lilliei,41551,Lillipathes lillei,41551,change taxon name,2023,misspelling
Limanda proboscidea,10211,Myzopsetta proboscidea,10211,change taxon name,2023,synonym
Liocyma fluctosa,75092,Liocyma fluctuosa,75092,change taxon name,2023,misspelling
Liomesus nassula,71913,Pseudoliomesus nassula,71913,change taxon name,2023,original combination
Lophaster vexator,81125,Lophaster furcilliger,81130,change taxon code/name,2023,synonym
Lopholithodes foraminatus,69270,Echidnocerus foraminatus,69270,change taxon name,2023,synonym
Lopholithodes mandtii,69280,Echidnocerus cibarius,69280,change taxon name,2023,synonym
Lopholithodes sp.,69260,Echidnocerus sp.,69260,change taxon name,2023,synonym
Lucinoma annulatum,75420,Lucinoma annulata,75420,change taxon name,2023,misspelling
Lunatia lewisii,71570,Neverita lewisii,71570,change taxon name,2023,unaccepted combination
Lunatia pallida,71580,Euspira pallida,71580,change taxon name,2023,synonym
Lussivolutopsius filosus,71759,Habevolutopsius attenuatus,71739,change taxon code/name,2023,synonym
Lycodapus grossidens,24233,Lycodapus fierasfer,24160,change taxon code/name,2023,synonym
Lycodema barbatum,24240,Lyconema barbatum,24240,change taxon name,2023,misspelling
Macoma secta,75244,Rexithaerus secta,75244,change taxon name,2023,synonym
Macoma yoldiformis,75243,Macoploma yoldiformis,75243,change taxon name,2023,synonym
Mallotus catervarius (=villosus),23041,Mallotus villosus,23041,change taxon name,2023,misspelling
Margarites argentatus,72534,Margarites olivaceus,72534,change taxon name,2023,synonym
Margarites beringensis,72539,Margarites helicinus,72539,change taxon name,2023,synonym
Melita dentata,60130,Dulichiella appendiculata,60130,change taxon name,2023,misidentification
Melonanchora globogilva,91234,Hanstoreia globogilva,91234,change taxon name,2023,genus transfer
Mohnia robusta,71906,Retimohnia robusta,71906,change taxon name,2023,original combination
Molpadia arenicola,85110,Caudina arenicola,85110,change taxon name,2023,synonym
Moroteuthis robusta,79302,Onykia robusta,79302,change taxon name,2023,synonym
Munida quadrispina,69556,Grimothea quadrispina,69556,change taxon name,2023,synonym
Mursia gaudichaudii,68100,Platymera gaudichaudii,68100,change taxon name,2023,invalid synonym
Musculus olivaceus,74563,Musculus discors,74562,change taxon code/name,2023,synonym
Mya elegans,75336,Myra elegans,75336,change taxon name,2023,synonym
Mycale bellabellensis,91054,Mycale loveni,91040,change taxon code/name,2023,junior synonym
Myriapora sp. cf. subgracilis (Bayer et al.),95005,Leieschara sp. cf. subgracilis (Bayer et al.),95005,change taxon name,2023,synonym
Myriapora subgracilis,95040,Leieschara subgracilis,95040,change taxon name,2023,synonym
